Year,Region,Model,Unit_Sold,Price_USD,Revenue,Sales_Classification
2024,Europe,7 Series,7865,52788,415177620,High
2019,Europe,i8,7226,105038,759004588,High
2023,Middle East,3 Series,4707,68221,321116247,Low
2020,Asia,i3,145,119389,17311405,Low
2020,North America,X5,1073,35275,37850075,Low
2021,Europe,X5,6291,31937,200915667,Low
2013,Africa,5 Series,2240,38341,85883840,Low
2015,North America,M3,2643,78504,207486072,Low
2017,North America,X6,9714,110203,1070511942,High
2012,Asia,5 Series,9180,57772,530346960,High
2023,Middle East,3 Series,4523,63527,287332621,Low
2012,North America,X1,4648,98914,459752272,Low
2017,South America,i3,9402,56876,534748152,High
2017,Asia,3 Series,7669,112051,859319119,High
2017,South America,M5,1999,50985,101919015,Low
2010,Middle East,M3,7688,54654,420179952,High
2017,Middle East,M3,7491,54215,406124565,High
2017,Middle East,5 Series,5683,84905,482515115,Low
2011,Europe,X5,421,44863,18887323,Low
2021,Asia,X1,6591,55129,363355239,Low
2018,Asia,i3,9542,96926,924867892,High
2016,Asia,i3,6283,111815,702533645,Low
2017,Asia,i8,9355,33839,316563845,High
2011,North America,M5,5119,89451,457899669,Low
2013,South America,X1,9386,51810,486288660,High
2016,Middle East,X1,7671,50689,388835319,High
2015,Europe,5 Series,3378,92109,311144202,Low
2016,North America,M5,574,61467,35282058,Low
2010,Asia,7 Series,4895,95152,465769040,Low
2017,South America,5 Series,4197,103547,434586759,Low
2022,North America,X3,7888,95154,750574752,High
2016,North America,5 Series,4370,96922,423549140,Low
2022,North America,X1,1336,90135,120420360,Low
2013,Middle East,i8,1810,76213,137945530,Low
2010,South America,3 Series,2264,51307,116159048,Low
2024,North America,M3,2934,118301,347095134,Low
2017,North America,X3,4841,95180,460766380,Low
2019,Europe,X3,7851,118163,927697713,High
2016,North America,M3,362,97515,35300430,Low
2017,Africa,i3,899,109106,98086294,Low
2019,Africa,M3,3270,55972,183028440,Low
2010,Asia,3 Series,1973,40484,79874932,Low
2014,Europe,X6,8841,63628,562535148,High
2018,Asia,i3,6890,101526,699514140,Low
2014,Middle East,X5,5017,30716,154102172,Low
2022,Middle East,X5,9810,49006,480748860,High
2023,North America,X3,9933,55846,554718318,High
2023,North America,M5,736,74223,54628128,Low
2019,South America,X5,7190,69722,501301180,High
2021,South America,7 Series,7265,115642,840139130,High
2012,South America,3 Series,1377,96747,133220619,Low
2018,South America,X6,7104,109040,774620160,High
2022,Middle East,M3,3343,82854,276980922,Low
2018,Europe,i8,1063,30641,32571383,Low
2013,Africa,3 Series,8964,106447,954190908,High
2013,South America,X6,7394,49327,364723838,High
2020,Middle East,i8,578,75625,43711250,Low
2017,South America,i3,4147,103297,428372659,Low
2016,Asia,5 Series,5718,42781,244621758,Low
2020,Europe,i3,3419,93154,318493526,Low
2014,Europe,X3,852,76306,65012712,Low
2015,South America,X5,9778,96399,942589422,High
2024,North America,3 Series,821,42017,34495957,Low
2012,Europe,X1,5141,63478,326340398,Low
2023,Middle East,7 Series,5934,113875,675734250,Low
2024,Middle East,M3,486,115859,56307474,Low
2015,North America,X3,3794,88725,336622650,Low
2022,Asia,M3,2924,33685,98494940,Low
2017,Africa,M3,2176,78175,170108800,Low
2019,Europe,M5,8286,50152,415559472,High
2023,North America,X5,6914,68148,471175272,Low
2022,Europe,i3,7432,119171,885678872,High
2020,Asia,3 Series,6059,34498,209023382,Low
2018,Europe,5 Series,7067,100263,708558621,High
2012,Asia,i3,4963,77836,386300068,Low
2017,Middle East,7 Series,7015,55943,392440145,High
2021,Middle East,X1,6775,49945,338377375,Low
2012,Europe,X3,9276,31705,294095580,High
2011,North America,X1,6490,107232,695935680,Low
2014,Asia,X6,7857,110413,867514941,High
2023,Europe,M3,4646,37359,173569914,Low
2013,Asia,X3,740,77544,57382560,Low
2022,South America,X3,1528,107162,163743536,Low
2014,Asia,5 Series,1834,85067,156012878,Low
2015,North America,7 Series,8612,48550,418112600,High
2024,Africa,X6,9714,117562,1141997268,High
2012,Africa,M3,635,118594,75307190,Low
2010,South America,X3,3676,105526,387913576,Low
2024,Africa,i8,627,86592,54293184,Low
2013,Asia,X3,4218,116726,492350268,Low
2015,Asia,X6,7630,40812,311395560,High
2011,Europe,X3,1516,67432,102226912,Low
2011,Asia,7 Series,3976,76243,303142168,Low
2010,Middle East,X1,6060,89142,540200520,Low
2018,Middle East,7 Series,8505,53507,455077035,High
2012,North America,3 Series,9212,35869,330425228,High
2011,Europe,X5,9182,101025,927611550,High
2013,South America,X5,9244,79819,737846836,High
2015,Middle East,5 Series,7804,56422,440317288,High
2010,Africa,i8,4766,53747,256158202,Low
2018,South America,5 Series,4162,98853,411426186,Low
2018,North America,X6,3899,50321,196201579,Low
2017,North America,X1,908,77112,70017696,Low
2015,Europe,X6,3099,84377,261484323,Low
2013,Africa,7 Series,3130,85008,266075040,Low
2011,North America,i8,6182,113581,702157742,Low
2017,North America,3 Series,5997,119591,717187227,Low
2016,Middle East,M5,8716,116314,1013792824,High
2021,Europe,5 Series,349,44883,15664167,Low
2023,Europe,X6,5573,70252,391514396,Low
2013,South America,M5,2839,62119,176355841,Low
2012,North America,i3,9919,57372,569072868,High
2024,Asia,X1,6704,117631,788598224,Low
2015,Asia,X5,2435,67615,164642525,Low
2024,Asia,i3,9880,90135,890533800,High
2024,Africa,M5,4903,118965,583285395,Low
2010,North America,3 Series,488,93881,45813928,Low
2011,Africa,7 Series,3062,86557,265037534,Low
2016,Africa,M5,1480,56290,83309200,Low
2020,Middle East,7 Series,5134,58818,301971612,Low
2012,Middle East,X5,6246,119334,745360164,Low
2023,Africa,i3,8095,111255,900609225,High
2022,Europe,i3,255,106504,27158520,Low
2010,Europe,X5,2306,97905,225768930,Low
2011,Asia,X5,9711,81896,795292056,High
2019,North America,M5,457,64602,29523114,Low
2019,Asia,7 Series,7685,45445,349244825,High
2023,North America,X3,1919,50350,96621650,Low
2018,Europe,i8,7234,113755,822903670,High
2016,South America,M3,2610,116420,303856200,Low
2016,Africa,M5,9551,45134,431074834,High
2023,South America,7 Series,3753,49761,186753033,Low
2019,Africa,M5,3725,115236,429254100,Low
2017,Asia,X1,4499,99134,446003866,Low
2024,North America,i3,2773,93245,258568385,Low
2021,Middle East,i8,8841,101571,897989211,High
2021,North America,X1,9697,56197,544942309,High
2017,North America,5 Series,3461,30816,106654176,Low
2018,Europe,M3,3077,84058,258646466,Low
2011,South America,M3,416,60656,25232896,Low
2023,North America,X3,4469,45455,203138395,Low
2017,Europe,X1,289,84732,24487548,Low
2017,Middle East,5 Series,2472,79941,197614152,Low
2022,Asia,X1,2747,100849,277032203,Low
2014,Asia,7 Series,6354,117516,746696664,Low
2014,South America,7 Series,4885,83228,406568780,Low
2013,Asia,3 Series,9010,85642,771634420,High
2023,South America,M5,4708,86840,408842720,Low
2014,Europe,i3,3973,36677,145717721,Low
2011,North America,5 Series,5528,61095,337733160,Low
2011,South America,M5,9190,59694,548587860,High
2014,South America,X1,722,104257,75273554,Low
2020,Middle East,3 Series,905,80599,72942095,Low
2022,Africa,X1,9531,42981,409651911,High
2012,Europe,M3,7378,88707,654480246,High
2010,North America,i3,8953,40343,361190879,High
2018,Asia,i8,4821,54836,264364356,Low
2011,Middle East,3 Series,7260,43185,313523100,High
2023,Middle East,X1,471,36006,16958826,Low
2021,North America,i8,3133,73661,230779913,Low
2023,Africa,5 Series,9695,49146,476470470,High
2019,Africa,7 Series,6425,104709,672755325,Low
2011,Middle East,M3,8649,61000,527589000,High
2023,North America,X3,4543,88218,400774374,Low
2013,South America,i8,6861,104731,718559391,Low
2011,Europe,X5,4998,51188,255837624,Low
2016,Asia,X6,7778,72958,567467324,High
2024,Africa,X3,5843,61462,359122466,Low
2021,South America,X1,4632,117878,546010896,Low
2019,North America,M3,3031,74494,225791314,Low
2024,North America,7 Series,8909,62802,559503018,High
2010,Middle East,5 Series,4682,36081,168931242,Low
2020,Middle East,X6,3462,97532,337655784,Low
2011,Europe,X6,2544,38630,98274720,Low
2020,Middle East,X5,3531,31482,111162942,Low
2014,South America,X5,7527,30922,232749894,High
2024,North America,X1,3764,115956,436458384,Low
2011,Africa,X1,4259,94708,403361372,Low
2018,Europe,X1,2512,59674,149901088,Low
2013,South America,3 Series,3869,56867,220018423,Low
2018,North America,7 Series,992,35109,34828128,Low
2020,North America,3 Series,3488,39341,137221408,Low
2021,Middle East,M5,5605,98689,553151845,Low
2010,Europe,i3,5451,50274,274043574,Low
2010,Europe,M5,3505,74125,259808125,Low
2010,Africa,i3,9126,55433,505881558,High
2023,Asia,3 Series,6111,118567,724562937,Low
2013,Middle East,i8,4593,51400,236080200,Low
2018,South America,X3,1531,118519,181452589,Low
2017,Africa,7 Series,6855,55190,378327450,Low
2016,North America,M3,5742,68458,393085836,Low
2024,North America,X3,3944,77224,304571456,Low
2010,Africa,3 Series,687,113138,77725806,Low
2012,Middle East,i8,5786,61842,357817812,Low
2018,Asia,M5,4441,62167,276083647,Low
2024,South America,3 Series,355,31315,11116825,Low
2018,Asia,M5,7136,67986,485148096,High
2014,Europe,i8,451,101745,45886995,Low
2021,Middle East,7 Series,4688,46517,218071696,Low
2022,Europe,M5,9120,104587,953833440,High
2015,North America,M3,5607,36752,206068464,Low
2020,Middle East,i3,8612,38951,335446012,High
2022,Africa,X3,1061,104979,111382719,Low
2015,South America,X1,4640,33811,156883040,Low
2019,Africa,X3,7821,105831,827704251,High
2013,Europe,X5,6774,44792,303421008,Low
2010,North America,i8,7931,57998,459982138,High
2014,Asia,7 Series,5708,104212,594842096,Low
2022,Middle East,M5,6501,33766,219512766,Low
2010,Asia,X5,8882,110049,977455218,High
2010,Africa,X1,4019,99248,398877712,Low
2020,Europe,X5,3220,116179,374096380,Low
2014,North America,i8,401,114649,45974249,Low
2014,South America,3 Series,2940,35622,104728680,Low
2016,Asia,M5,4913,84138,413369994,Low
2011,South America,X1,9686,119377,1156285622,High
2024,Middle East,i8,391,70135,27422785,Low
2015,North America,i3,2996,35709,106984164,Low
2011,South America,M3,458,60403,27664574,Low
2024,North America,M3,8862,94229,835057398,High
2022,Asia,M5,3096,75357,233305272,Low
2019,Africa,X3,5447,108523,591124781,Low
2014,Africa,3 Series,1937,70333,136235021,Low
2013,Asia,M5,7985,35968,287204480,High
2020,North America,X6,3163,83293,263455759,Low
2019,South America,X1,3817,63688,243097096,Low
2014,Europe,X1,3680,75438,277611840,Low
2011,Middle East,5 Series,2230,74589,166333470,Low
2017,Asia,M3,5495,56949,312934755,Low
2017,Africa,X6,4238,98028,415442664,Low
2015,Europe,3 Series,363,59838,21721194,Low
2012,Middle East,X5,5296,66680,353137280,Low
2013,South America,M5,7537,69885,526723245,High
2010,Africa,X3,9504,30331,288265824,High
2018,South America,X5,1607,46762,75146534,Low
2019,Middle East,X3,1048,110708,116021984,Low
2014,Asia,M5,1717,103439,177604763,Low
2023,Middle East,X1,8015,113134,906769010,High
2017,Asia,i8,1300,95080,123604000,Low
2012,Europe,X6,4884,78129,381582036,Low
2013,Asia,X1,2483,33927,84240741,Low
2013,North America,i3,6180,36636,226410480,Low
2017,North America,3 Series,865,31844,27545060,Low
2024,Asia,X5,3495,54935,191997825,Low
2021,Europe,M5,1889,88604,167372956,Low
2018,Middle East,X5,8360,100491,840104760,High
2012,Middle East,X3,9202,35598,327572796,High
2016,North America,i8,1123,69585,78143955,Low
2018,South America,7 Series,9588,67671,648829548,High
2011,Asia,X1,7269,76194,553854186,High
2013,Asia,7 Series,8051,80984,652002184,High
2012,South America,M5,6809,101176,688907384,Low
2017,North America,i3,2679,106652,285720708,Low
2013,Europe,i8,2043,112896,230646528,Low
2018,South America,M3,4303,90394,388965382,Low
2010,Africa,X3,9394,96890,910184660,High
2010,Asia,X3,5432,33086,179723152,Low
2013,Middle East,X1,9694,104692,1014884248,High
2012,Africa,X6,2085,55535,115790475,Low
2012,Europe,7 Series,6413,57695,369998035,Low
2019,Middle East,X5,413,47319,19542747,Low
2021,Asia,i3,6160,54813,337648080,Low
2011,Middle East,X1,4715,68588,323392420,Low
2023,Europe,i3,818,118978,97324004,Low
2019,Middle East,X5,5074,52302,265380348,Low
2019,Africa,M3,4684,112845,528565980,Low
2011,North America,7 Series,5959,68802,409991118,Low
2017,Asia,X6,5017,48127,241453159,Low
2010,North America,7 Series,4066,112873,458941618,Low
2023,Europe,3 Series,6880,118936,818279680,Low
2024,Africa,X1,7506,56900,427091400,High
2017,Europe,5 Series,756,73051,55226556,Low
2019,Middle East,M3,9511,81972,779635692,High
2012,Africa,M5,4412,50149,221257388,Low
2011,Asia,7 Series,7713,67150,517927950,High
2018,Middle East,7 Series,294,40799,11994906,Low
2014,Asia,X5,3887,70391,273609817,Low
2024,Europe,M3,6755,75126,507476130,Low
2023,South America,7 Series,6190,32212,199392280,Low
2014,Middle East,i3,452,99910,45159320,Low
2022,Middle East,7 Series,2500,103651,259127500,Low
2015,Africa,7 Series,1221,119175,145512675,Low
2013,South America,i3,8639,44304,382742256,High
2016,Asia,5 Series,1636,89699,146747564,Low
2016,South America,M3,5417,56861,308016037,Low
2020,Middle East,X6,4290,106526,456996540,Low
2018,North America,M5,476,108331,51565556,Low
2015,Africa,5 Series,3717,108673,403937541,Low
2022,North America,M3,7856,33381,262241136,High
2010,North America,i8,5340,105656,564203040,Low
2018,Middle East,M3,7878,68241,537602598,High
2021,North America,7 Series,9979,37387,373084873,High
2022,Africa,i8,2209,100435,221860915,Low
2019,Asia,X5,976,55101,53778576,Low
2018,Middle East,i3,7686,99364,763711704,High
2014,South America,X1,5982,64403,385258746,Low
2016,Europe,M5,8675,102435,888623625,High
2010,North America,3 Series,6466,100664,650893424,Low
2013,South America,i8,6594,54696,360665424,Low
2021,Middle East,X6,4424,86066,380755984,Low
2019,South America,i3,9358,57266,535895228,High
2013,Africa,M5,6551,30521,199943071,Low
2014,Middle East,3 Series,6844,98531,674346164,Low
2015,Africa,i3,4548,99016,450324768,Low
2013,North America,M3,316,45894,14502504,Low
2015,Asia,X5,7620,52128,397215360,High
2019,Africa,3 Series,6944,42554,295494976,Low
2016,Africa,X3,2454,103621,254285934,Low
2012,Middle East,X5,3693,70244,259411092,Low
2018,Africa,X1,4411,81305,358636355,Low
2017,Middle East,7 Series,251,40488,10162488,Low
2010,Middle East,7 Series,1621,51109,82847689,Low
2022,North America,X3,6188,34765,215125820,Low
2011,Middle East,X5,1011,109021,110220231,Low
2011,North America,7 Series,1328,80775,107269200,Low
2019,North America,7 Series,5318,31722,168697596,Low
2018,Africa,X6,7391,37680,278492880,High
2021,North America,X5,5783,42579,246234357,Low
2018,Middle East,i3,3057,93755,286609035,Low
2018,Africa,M5,8388,80551,675661788,High
2010,Europe,i8,6455,70321,453922055,Low
2016,Africa,M3,9225,60652,559514700,High
2024,Asia,X6,1939,56783,110102237,Low
2021,Asia,M3,4597,106140,487925580,Low
2020,North America,3 Series,7919,44048,348816112,High
2022,South America,3 Series,3571,33358,119121418,Low
2012,Europe,M5,7589,32019,242992191,High
2020,North America,3 Series,9913,71527,709047151,High
2018,Africa,7 Series,5306,98375,521977750,Low
2017,Europe,X3,9121,73100,666745100,High
2012,Asia,M3,8792,63833,561219736,High
2010,Europe,M3,7871,106523,838442533,High
2018,South America,M5,8111,71411,579214621,High
2022,Middle East,i8,2581,115998,299390838,Low
2019,Middle East,3 Series,2591,39420,102137220,Low
2010,Europe,i3,5631,72830,410105730,Low
2024,South America,5 Series,677,37494,25383438,Low
2012,Africa,3 Series,8361,87848,734497128,High
2022,Europe,5 Series,2049,47300,96917700,Low
2015,Middle East,i8,425,85590,36375750,Low
2015,Africa,X1,4506,62139,279998334,Low
2023,North America,M3,6686,89069,595515334,Low
2020,Africa,7 Series,4582,95301,436669182,Low
2019,South America,i3,8087,30510,246734370,High
2013,North America,M5,4162,55233,229879746,Low
2011,Middle East,M5,6573,64629,424806417,Low
2022,Europe,3 Series,6459,35883,231768297,Low
2019,Asia,i3,6058,71958,435921564,Low
2015,Africa,7 Series,9547,83704,799122088,High
2019,South America,M3,4136,38422,158913392,Low
2014,Asia,X5,754,89551,67521454,Low
2022,Asia,X5,3125,65892,205912500,Low
2015,Europe,X1,4026,108640,437384640,Low
2016,Africa,X1,4726,87721,414569446,Low
2020,Europe,i3,7888,98786,779223968,High
2018,South America,M3,3946,34875,137616750,Low
2021,North America,i3,7753,74918,580839254,High
2021,North America,M5,5313,109366,581061558,Low
2023,Asia,i3,1618,109001,176363618,Low
2016,Africa,i3,6976,59595,415734720,Low
2013,Asia,X6,8361,30264,253037304,High
2019,Europe,i8,7922,106264,841823408,High
2014,Middle East,7 Series,7958,110021,875547118,High
2024,Asia,7 Series,2754,106856,294281424,Low
2022,Europe,X3,5488,78301,429715888,Low
2015,Asia,i3,5420,53170,288181400,Low
2022,Middle East,i3,6821,41734,284667614,Low
2018,Asia,X5,8519,34369,292789511,High
2014,Asia,X3,639,115828,74014092,Low
2014,South America,X1,1290,85798,110679420,Low
2016,Asia,X1,4257,69205,294605685,Low
2011,Europe,X3,6199,90693,562205907,Low
2012,Middle East,7 Series,8459,68049,575626491,High
2021,Middle East,5 Series,492,80587,39648804,Low
2011,South America,M3,9494,100311,952352634,High
2019,Middle East,X6,7029,88201,619964829,High
2019,North America,7 Series,6479,115953,751259487,Low
2021,South America,X5,1021,93566,95530886,Low
2023,Europe,7 Series,7039,60640,426844960,High
2011,North America,7 Series,6245,73725,460412625,Low
2012,Africa,5 Series,1376,57469,79077344,Low
2015,Middle East,M3,571,33348,19041708,Low
2014,North America,M5,380,63891,24278580,Low
2020,South America,M5,683,62439,42645837,Low
2024,Europe,5 Series,3074,59119,181731806,Low
2023,South America,i3,466,76306,35558596,Low
2022,Africa,5 Series,4805,61587,295925535,Low
2014,Asia,5 Series,6879,46872,322432488,Low
2011,North America,M5,751,31960,24001960,Low
2011,Asia,X5,8312,34849,289664888,High
2021,Middle East,X1,6727,49584,333551568,Low
2010,Europe,i3,1263,65990,83345370,Low
2012,Europe,3 Series,6657,83471,555666447,Low
2021,Europe,5 Series,3750,82932,310995000,Low
2021,Africa,X6,4532,102984,466723488,Low
2020,Middle East,M3,4153,66727,277117231,Low
2023,Middle East,X1,7111,52182,371066202,High
2016,Asia,7 Series,7659,56816,435153744,High
2020,Asia,X1,9982,43831,437521042,High
2014,South America,3 Series,2430,82460,200377800,Low
2016,North America,5 Series,2663,57237,152422131,Low
2018,South America,X6,4852,92185,447281620,Low
2015,North America,5 Series,5517,77204,425934468,Low
2011,Middle East,7 Series,2061,115851,238768911,Low
2010,South America,7 Series,5816,108572,631454752,Low
2010,North America,X6,784,79810,62571040,Low
2019,Africa,7 Series,1730,109780,189919400,Low
2018,Africa,X6,9876,111235,1098556860,High
2023,Africa,i8,9789,46605,456216345,High
2015,Middle East,M5,2192,47716,104593472,Low
2015,South America,7 Series,5095,36471,185819745,Low
2013,Asia,3 Series,8980,83553,750305940,High
2021,North America,i3,1358,41302,56088116,Low
2023,South America,X3,2757,99673,274798461,Low
2011,North America,X1,6113,119447,730179511,Low
2019,Middle East,i8,3314,113830,377232620,Low
2012,Middle East,X1,8738,49195,429865910,High
2012,Africa,X3,9350,77078,720679300,High
2017,Middle East,M3,4577,93395,427468915,Low
2015,Europe,5 Series,995,96586,96103070,Low
2016,Africa,M3,6472,44387,287272664,Low
2018,Africa,X5,3488,77832,271478016,Low
2010,Asia,X1,4682,102693,480808626,Low
2011,Africa,3 Series,9755,76248,743799240,High
2024,Asia,7 Series,3854,86113,331879502,Low
2018,Europe,X6,8708,80547,701403276,High
2014,North America,X6,7271,104312,758452552,High
2013,Europe,M5,700,71081,49756700,Low
2010,North America,M5,8518,115521,984007878,High
2018,Africa,7 Series,6109,114933,702125697,Low
2020,Middle East,7 Series,6363,84722,539086086,Low
2022,Europe,X3,4034,65994,266219796,Low
2018,North America,3 Series,1934,95649,184985166,Low
2013,South America,M5,4916,95326,468622616,Low
2018,Middle East,X5,7884,36426,287182584,High
2019,South America,7 Series,9461,92168,872001448,High
2022,Middle East,X6,9592,46526,446277392,High
2010,Middle East,M5,8758,31717,277777486,High
2024,North America,X3,1973,87800,173229400,Low
2014,Africa,X3,2706,63650,172236900,Low
2010,North America,X1,9701,46017,446410917,High
2013,Middle East,M5,6197,72363,448433511,Low
2021,South America,M3,1523,43195,65785985,Low
2014,Africa,M5,4868,87242,424694056,Low
2023,North America,5 Series,818,87080,71231440,Low
2020,North America,5 Series,8430,58333,491747190,High
2012,Asia,3 Series,4712,65014,306345968,Low
2011,Europe,i8,5039,76481,385387759,Low
2015,North America,X3,7273,107601,782582073,High
2020,Africa,M5,8561,54611,467524771,High
2022,Asia,M5,8985,51092,459061620,High
2012,Asia,X6,3873,71401,276536073,Low
2019,Africa,i3,9109,104987,956326583,High
2010,South America,7 Series,1881,55397,104201757,Low
2020,Asia,M5,4746,99761,473465706,Low
2022,Europe,M3,8200,62165,509753000,High
2014,Middle East,i3,2493,46810,116697330,Low
2011,Asia,5 Series,9748,57042,556045416,High
2024,Middle East,3 Series,3575,107962,385964150,Low
2011,Europe,3 Series,7373,67600,498414800,High
2024,Europe,X6,1910,71498,136561180,Low
2013,South America,i8,6505,85543,556457215,Low
2013,Middle East,X5,990,104537,103491630,Low
2013,Middle East,i8,9551,81310,776591810,High
2016,South America,i8,1940,89828,174266320,Low
2010,Europe,5 Series,790,44950,35510500,Low
2022,Asia,X1,7606,43168,328335808,High
2017,Middle East,7 Series,5593,119486,668285198,Low
2021,Asia,M5,1637,111270,182148990,Low
2022,Africa,X5,8078,42900,346546200,High
2019,Asia,X6,538,47846,25741148,Low
2018,North America,X5,760,60085,45664600,Low
2019,Europe,M5,4090,104335,426730150,Low
2022,Africa,X1,1614,45466,73382124,Low
2023,North America,i8,6223,88928,553398944,Low
2024,Middle East,X5,3706,52776,195587856,Low
2015,Africa,i8,5266,61130,321910580,Low
2013,Middle East,i8,7824,87217,682385808,High
2015,North America,X6,308,94358,29062264,Low
2019,Africa,X5,1418,113221,160547378,Low
2016,North America,M3,4909,50245,246652705,Low
2015,Middle East,X1,7231,37493,271111883,High
2020,Europe,i8,4819,105540,508597260,Low
2010,Asia,X1,3888,98126,381513888,Low
2014,Asia,X1,1790,40246,72040340,Low
2017,Europe,X1,7176,40779,292630104,High
2024,Europe,5 Series,2937,74016,217384992,Low
2017,Middle East,M3,8060,42784,344839040,High
2021,Asia,i8,810,41459,33581790,Low
2019,Europe,3 Series,3892,39338,153103496,Low
2018,Asia,i3,6149,94064,578399536,Low
2013,Europe,7 Series,3285,50722,166621770,Low
2019,Africa,M3,9321,97510,908890710,High
2015,Middle East,i3,4944,39797,196756368,Low
2016,Africa,X3,6907,94579,653257153,Low
2014,Asia,7 Series,125,54349,6793625,Low
2024,Europe,i8,3946,58911,232462806,Low
2020,Middle East,3 Series,7481,96454,721572374,High
2017,North America,3 Series,4143,86844,359794692,Low
2012,Asia,5 Series,4445,111833,497097685,Low
2017,Europe,X5,9916,39822,394874952,High
2024,Europe,X1,5790,68127,394455330,Low
2023,South America,i8,1588,84613,134365444,Low
2014,Middle East,7 Series,5815,105264,612110160,Low
2010,Africa,5 Series,1480,31037,45934760,Low
2022,Africa,7 Series,9343,48191,450248513,High
2015,Middle East,X1,1327,59799,79353273,Low
2011,Middle East,i3,5895,78235,461195325,Low
2024,Asia,X5,2137,81673,174535201,Low
2016,Europe,i8,4703,96712,454836536,Low
2024,Europe,3 Series,5976,97278,581333328,Low
2024,South America,M5,9113,105827,964401451,High
2018,Africa,M5,489,115030,56249670,Low
2012,North America,M3,4701,59579,280080879,Low
2023,Asia,X5,5767,76618,441856006,Low
2019,North America,5 Series,8273,51660,427383180,High
2023,Asia,X3,2503,50982,127607946,Low
2013,North America,M5,8186,51447,421145142,High
2013,Middle East,X3,4289,89881,385499609,Low
2013,Africa,X3,3556,58236,207087216,Low
2012,Middle East,X1,5725,52517,300659825,Low
2014,Europe,7 Series,5631,106120,597561720,Low
2018,South America,X1,3869,32912,127336528,Low
2024,North America,X5,5639,85748,483532972,Low
2020,Asia,X1,7433,108232,804488456,High
2017,Middle East,X5,5775,73126,422302650,Low
2019,Asia,X6,1999,86694,173301306,Low
2011,North America,M3,2504,67997,170264488,Low
2021,North America,3 Series,8502,107517,914109534,High
2018,Europe,M3,640,95694,61244160,Low
2021,Middle East,M5,9883,95081,939685523,High
2019,Europe,M5,8864,63762,565186368,High
2011,Africa,5 Series,2420,100557,243347940,Low
2016,South America,X1,3267,52716,172223172,Low
2014,Africa,X5,9656,98655,952612680,High
2024,Asia,7 Series,3672,88532,325089504,Low
2022,Africa,3 Series,1692,110192,186444864,Low
2016,Europe,M3,4932,40054,197546328,Low
2014,Africa,M5,4862,34588,168166856,Low
2021,Europe,M5,6871,85643,588453053,Low
2015,North America,3 Series,9577,61630,590230510,High
2017,North America,X1,8165,108900,889168500,High
2010,South America,i3,1956,104705,204802980,Low
2022,Africa,M3,3452,115794,399720888,Low
2020,North America,M3,4243,74206,314856058,Low
2022,Asia,X6,4540,87866,398911640,Low
2021,South America,M5,1992,66015,131501880,Low
2010,Asia,M5,3802,41882,159235364,Low
2014,Europe,M5,2160,86517,186876720,Low
2024,North America,X5,7148,90429,646386492,High
2010,North America,5 Series,1871,60527,113246017,Low
2012,South America,7 Series,7559,45772,345990548,High
2019,Asia,M3,5416,114603,620689848,Low
2024,Asia,5 Series,9694,34547,334898618,High
2018,Asia,X3,9699,81197,787529703,High
2023,North America,X3,7920,60277,477393840,High
2022,South America,i8,9014,35040,315850560,High
2016,North America,3 Series,8217,55338,454712346,High
2021,Europe,X5,1209,104689,126569001,Low
2015,South America,7 Series,8219,116290,955787510,High
2017,South America,M5,9190,106083,974902770,High
2017,Africa,X3,7841,81768,641142888,High
2015,Africa,i3,5718,55738,318709884,Low
2013,Asia,i3,1480,71619,105996120,Low
2013,Asia,i3,9098,37919,344987062,High
2013,Asia,X1,3524,67725,238662900,Low
2015,South America,X5,8672,64758,561581376,High
2010,Europe,5 Series,5233,38976,203961408,Low
2021,Europe,7 Series,1962,75846,148809852,Low
2011,Asia,M5,5041,98233,495192553,Low
2015,Europe,7 Series,3999,62620,250417380,Low
2023,Middle East,7 Series,9287,46533,432151971,High
2023,South America,X6,6067,67462,409291954,Low
2020,South America,i8,2708,90448,244933184,Low
2010,Africa,7 Series,5390,42681,230050590,Low
2018,North America,5 Series,3042,53147,161673174,Low
2021,Africa,X1,8699,92246,802447954,High
2015,Middle East,M5,572,112714,64472408,Low
2016,South America,X3,5228,100911,527562708,Low
2023,North America,i3,1737,61547,106907139,Low
2021,Africa,3 Series,7120,46043,327826160,High
2010,Africa,M3,2005,36789,73761945,Low
2017,Asia,5 Series,6519,82152,535548888,Low
2021,Africa,X3,9938,61470,610888860,High
2021,Asia,7 Series,1626,36844,59908344,Low
2021,Africa,M3,8877,118070,1048107390,High
2021,Middle East,7 Series,8383,90891,761939253,High
2021,Europe,7 Series,582,81269,47298558,Low
2014,North America,i8,5648,66927,378003696,Low
2014,Middle East,i8,8005,78691,629921455,High
2023,Asia,7 Series,9622,116174,1117826228,High
2015,Middle East,X5,2985,38434,114725490,Low
2016,Africa,5 Series,1983,109797,217727451,Low
2016,Asia,7 Series,2717,79489,215971613,Low
2014,Asia,7 Series,3924,55848,219147552,Low
2010,Africa,M5,6423,118016,758016768,Low
2020,Middle East,7 Series,6090,38065,231815850,Low
2018,Middle East,X5,7071,73383,518891193,High
2024,Europe,X1,9331,53666,500757446,High
2015,Asia,M3,6196,101411,628342556,Low
2022,Middle East,i3,8388,49237,412999956,High
2018,Africa,X3,146,73014,10660044,Low
2020,South America,5 Series,1472,108824,160188928,Low
2013,Middle East,i3,7725,41136,317775600,High
2011,Europe,5 Series,1329,109665,145744785,Low
