Model,Category,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM
5 Series,Sedan,Diesel,Automatic,3.7,124353
M3,Performance Sedan,Diesel,Manual,2.7,78179
X1,SUV,Diesel,Automatic,3.2,64376
X3,SUV,Diesel,Manual,4.9,93522
5 Series,Sedan,Petrol,Automatic,3.3,129966
X6,SUV-Coupe,Hybrid,Automatic,4.7,150094
X6,SUV-Coupe,Hybrid,Manual,1.7,39159
M3,Performance Sedan,Electric,Manual,1.9,24580
X5,SUV,Diesel,Automatic,4.8,146244
M5,Performance Sedan,Petrol,Manual,2,124938
M5,Performance Sedan,Diesel,Automatic,4.1,63514
5 Series,Sedan,Diesel,Manual,3.1,167524
M3,Performance Sedan,Electric,Manual,2.9,30982
X1,SUV,Diesel,Automatic,3.8,113840
5 Series,Sedan,Diesel,Automatic,4,142377
i3,Electric Hatchback,Petrol,Automatic,4.8,126614
5 Series,Sedan,Electric,Manual,2.4,133140
X6,SUV-Coupe,Electric,Automatic,3.9,194160
i3,Electric Hatchback,Petrol,Automatic,2.7,25558
5 Series,Sedan,Petrol,Manual,4,162432
X6,SUV-Coupe,Electric,Manual,2,97788
X3,SUV,Electric,Manual,3.1,94492
X3,SUV,Petrol,Manual,2.1,153394
X1,SUV,Hybrid,Automatic,2.7,83106
X3,SUV,Hybrid,Manual,4,96034
i3,Electric Hatchback,Petrol,Automatic,2.3,119332
X3,SUV,Electric,Manual,3.9,60846
i3,Electric Hatchback,Electric,Automatic,3.2,111968
i8,Hybrid Sports Car,Hybrid,Manual,1.8,108165
X1,SUV,Electric,Automatic,2.9,57929
M3,Performance Sedan,Electric,Manual,4.5,190875
X6,SUV-Coupe,Hybrid,Manual,5,174649
X3,SUV,Hybrid,Automatic,2.8,62283
i8,Hybrid Sports Car,Petrol,Manual,1.7,97475
M3,Performance Sedan,Hybrid,Automatic,2,96792
X5,SUV,Hybrid,Manual,4.3,96198
X1,SUV,Petrol,Automatic,3.8,78035
X1,SUV,Petrol,Manual,2.5,178044
M3,Performance Sedan,Diesel,Automatic,2.9,51510
7 Series,Sedan,Hybrid,Automatic,4.3,114731
3 Series,Sedan,Hybrid,Manual,2.9,77718
X3,SUV,Electric,Automatic,4.1,104250
5 Series,Sedan,Electric,Manual,2.5,129607
5 Series,Sedan,Diesel,Manual,4,181497
i8,Hybrid Sports Car,Petrol,Manual,3.1,45103
7 Series,Sedan,Electric,Manual,3.4,91362
M3,Performance Sedan,Electric,Automatic,3.6,75701
X5,SUV,Petrol,Manual,3.1,185844
X6,SUV-Coupe,Petrol,Automatic,3.1,97817
M5,Performance Sedan,Petrol,Automatic,2.4,183433
5 Series,Sedan,Electric,Automatic,5,145226
M5,Performance Sedan,Electric,Manual,4.7,97873
3 Series,Sedan,Electric,Automatic,3.3,194755
i3,Electric Hatchback,Diesel,Automatic,1.6,101338
3 Series,Sedan,Electric,Manual,2.1,60996
5 Series,Sedan,Petrol,Manual,4.5,174217
i3,Electric Hatchback,Diesel,Automatic,4.8,46994
X3,SUV,Diesel,Automatic,2.1,187633
M3,Performance Sedan,Diesel,Manual,4.1,89163
X5,SUV,Hybrid,Manual,3.7,59415
7 Series,Sedan,Hybrid,Manual,2.6,75599
X1,SUV,Petrol,Manual,3,181320
i3,Electric Hatchback,Electric,Manual,3.9,113567
i3,Electric Hatchback,Electric,Automatic,1.9,163964
M5,Performance Sedan,Electric,Automatic,2.2,113426
M3,Performance Sedan,Hybrid,Manual,1.6,93093
X5,SUV,Electric,Manual,4.7,117687
X1,SUV,Petrol,Manual,3.5,13780
3 Series,Sedan,Hybrid,Automatic,3.3,37680
7 Series,Sedan,Hybrid,Automatic,4,73339
5 Series,Sedan,Petrol,Automatic,5,171653
7 Series,Sedan,Electric,Manual,2.1,174646
i8,Hybrid Sports Car,Petrol,Manual,2,159745
5 Series,Sedan,Petrol,Automatic,2.5,69381
M5,Performance Sedan,Hybrid,Manual,4.7,173264
X1,SUV,Hybrid,Automatic,2.9,7410
5 Series,Sedan,Electric,Manual,4.3,17437
7 Series,Sedan,Electric,Automatic,2.2,80753
7 Series,Sedan,Diesel,Automatic,3.2,5430
X1,SUV,Electric,Automatic,1.9,98314
M5,Performance Sedan,Petrol,Manual,2.9,120344
M5,Performance Sedan,Hybrid,Manual,2.4,76194
i3,Electric Hatchback,Petrol,Automatic,3.4,36722
i3,Electric Hatchback,Hybrid,Automatic,4.2,123848
M3,Performance Sedan,Petrol,Manual,4.8,50264
i3,Electric Hatchback,Electric,Manual,2.5,147308
X1,SUV,Petrol,Automatic,4.1,82567
i8,Hybrid Sports Car,Electric,Automatic,4.6,105433
i8,Hybrid Sports Car,Diesel,Automatic,1.9,184307
M3,Performance Sedan,Electric,Manual,3.6,117845
X3,SUV,Petrol,Manual,3.6,15486
X3,SUV,Petrol,Manual,2.5,195863
7 Series,Sedan,Electric,Manual,1.6,78991
X3,SUV,Petrol,Automatic,2.4,72365
X3,SUV,Electric,Manual,3.5,8329
3 Series,Sedan,Hybrid,Manual,2.2,15809
M3,Performance Sedan,Electric,Automatic,2.5,858
3 Series,Sedan,Diesel,Automatic,4,193482
X6,SUV-Coupe,Petrol,Automatic,2.9,155260
7 Series,Sedan,Electric,Automatic,1.7,40648
M3,Performance Sedan,Hybrid,Manual,2.9,127416
i3,Electric Hatchback,Electric,Automatic,5,136969
7 Series,Sedan,Petrol,Automatic,2.4,156362
5 Series,Sedan,Electric,Automatic,2.4,138177
M3,Performance Sedan,Petrol,Automatic,2.1,124688
X6,SUV-Coupe,Petrol,Automatic,2.5,50378
M3,Performance Sedan,Diesel,Automatic,3.5,107498
X3,SUV,Diesel,Manual,4.9,69221
X6,SUV-Coupe,Electric,Automatic,3.6,108319
M3,Performance Sedan,Diesel,Automatic,2.9,85444
X6,SUV-Coupe,Petrol,Manual,2.9,126097
M3,Performance Sedan,Hybrid,Manual,1.6,152877
i8,Hybrid Sports Car,Diesel,Manual,1.5,99885
3 Series,Sedan,Diesel,Manual,4.3,136321
X5,SUV,Diesel,Manual,3.2,180103
7 Series,Sedan,Electric,Automatic,1.6,122488
X1,SUV,Diesel,Manual,2.5,12020
i3,Electric Hatchback,Hybrid,Manual,2.7,193563
X5,SUV,Electric,Automatic,4.2,26612
X1,SUV,Diesel,Automatic,3,154108
X3,SUV,Electric,Manual,4.3,5687
7 Series,Sedan,Hybrid,Manual,3.7,150576
X1,SUV,Hybrid,Manual,1.6,132604
M5,Performance Sedan,Electric,Automatic,4.9,75588
i3,Electric Hatchback,Diesel,Automatic,2.1,182621
i8,Hybrid Sports Car,Electric,Manual,2.5,108650
i8,Hybrid Sports Car,Electric,Automatic,4.3,60506
3 Series,Sedan,Petrol,Automatic,2.2,56986
X6,SUV-Coupe,Diesel,Manual,2.9,129112
M3,Performance Sedan,Electric,Automatic,4.5,192410
i8,Hybrid Sports Car,Hybrid,Automatic,3.7,134923
3 Series,Sedan,Hybrid,Manual,2.6,142334
5 Series,Sedan,Petrol,Automatic,3.8,121859
i8,Hybrid Sports Car,Electric,Automatic,4.3,4787
M5,Performance Sedan,Electric,Manual,2.9,3830
7 Series,Sedan,Diesel,Manual,3.5,130593
5 Series,Sedan,Petrol,Manual,5,83249
M5,Performance Sedan,Diesel,Manual,4.9,24483
X1,SUV,Hybrid,Automatic,3.3,174457
7 Series,Sedan,Petrol,Manual,1.8,74676
X1,SUV,Hybrid,Manual,4,170768
M3,Performance Sedan,Electric,Automatic,2.4,128031
7 Series,Sedan,Hybrid,Manual,3.8,14707
X5,SUV,Electric,Automatic,2.7,72245
3 Series,Sedan,Diesel,Manual,4,16747
X5,SUV,Diesel,Automatic,2.8,11244
i3,Electric Hatchback,Petrol,Automatic,4.8,183229
X3,SUV,Electric,Manual,2,17338
i8,Hybrid Sports Car,Electric,Automatic,1.7,123851
X5,SUV,Hybrid,Manual,4.2,148357
X3,SUV,Electric,Manual,2.9,98938
3 Series,Sedan,Electric,Automatic,3.1,107151
i3,Electric Hatchback,Diesel,Manual,4.8,83308
X3,SUV,Electric,Automatic,3.6,121526
X5,SUV,Hybrid,Automatic,3.8,139643
3 Series,Sedan,Electric,Automatic,1.6,180314
X3,SUV,Diesel,Automatic,3.8,53315
X6,SUV-Coupe,Petrol,Manual,2.9,73295
7 Series,Sedan,Electric,Manual,3.1,65302
X5,SUV,Hybrid,Automatic,4.3,46444
X6,SUV-Coupe,Hybrid,Manual,3.3,167164
X6,SUV-Coupe,Hybrid,Automatic,5,173393
X6,SUV-Coupe,Diesel,Automatic,4.3,129108
X5,SUV,Diesel,Manual,4.1,177913
i8,Hybrid Sports Car,Electric,Automatic,3.6,2874
X6,SUV-Coupe,Petrol,Manual,2.9,193369
X6,SUV-Coupe,Electric,Manual,1.7,78351
i3,Electric Hatchback,Petrol,Manual,1.6,199843
5 Series,Sedan,Hybrid,Automatic,1.7,176146
X5,SUV,Hybrid,Manual,4.9,128788
X5,SUV,Petrol,Automatic,2.6,39650
i3,Electric Hatchback,Hybrid,Manual,4,107302
i8,Hybrid Sports Car,Diesel,Manual,3.6,140276
3 Series,Sedan,Hybrid,Automatic,3.5,148516
X3,SUV,Hybrid,Automatic,3.5,31928
X3,SUV,Petrol,Automatic,2.6,144660
M5,Performance Sedan,Diesel,Automatic,4.6,186324
X5,SUV,Hybrid,Automatic,4.7,196492
X1,SUV,Hybrid,Automatic,3.8,169728
i8,Hybrid Sports Car,Petrol,Manual,4.5,184098
X1,SUV,Electric,Manual,1.7,136431
X3,SUV,Petrol,Manual,1.9,54368
X3,SUV,Hybrid,Automatic,3.5,71089
i3,Electric Hatchback,Electric,Manual,4.5,195720
X6,SUV-Coupe,Petrol,Manual,2.6,68190
X5,SUV,Electric,Automatic,3.4,12406
X5,SUV,Electric,Automatic,1.5,107141
M3,Performance Sedan,Electric,Automatic,5,97839
X1,SUV,Hybrid,Automatic,4.2,192314
X6,SUV-Coupe,Petrol,Manual,2.8,63834
X3,SUV,Electric,Automatic,4.9,160854
M5,Performance Sedan,Diesel,Automatic,1.8,115906
7 Series,Sedan,Petrol,Automatic,3.1,112979
i3,Electric Hatchback,Electric,Automatic,1.7,129650
X3,SUV,Diesel,Manual,2.7,49045
X1,SUV,Electric,Manual,2.3,5524
X5,SUV,Petrol,Manual,2.6,134542
X6,SUV-Coupe,Petrol,Manual,4.8,91056
X1,SUV,Diesel,Manual,3,22265
X3,SUV,Electric,Manual,2.6,67177
X5,SUV,Hybrid,Automatic,3.7,122446
i8,Hybrid Sports Car,Electric,Manual,3.9,89265
X1,SUV,Hybrid,Manual,4.9,107950
X5,SUV,Diesel,Automatic,3.4,130894
X3,SUV,Diesel,Automatic,4.1,65813
i3,Electric Hatchback,Petrol,Manual,2.8,126963
X6,SUV-Coupe,Petrol,Automatic,2.1,43382
M3,Performance Sedan,Petrol,Automatic,3,22776
3 Series,Sedan,Electric,Automatic,3,131674
X3,SUV,Diesel,Automatic,3,6604
i3,Electric Hatchback,Diesel,Manual,3.9,138997
i3,Electric Hatchback,Petrol,Manual,2.9,957
i8,Hybrid Sports Car,Petrol,Manual,4.8,107465
5 Series,Sedan,Hybrid,Manual,4.9,141458
i8,Hybrid Sports Car,Petrol,Automatic,3.3,64744
5 Series,Sedan,Diesel,Automatic,3.5,191018
7 Series,Sedan,Hybrid,Automatic,2.9,137536
3 Series,Sedan,Diesel,Manual,2.7,123674
X5,SUV,Diesel,Automatic,4.9,166535
X3,SUV,Electric,Automatic,1.6,100176
X3,SUV,Petrol,Automatic,2.9,55272
X3,SUV,Hybrid,Automatic,2,34843
M3,Performance Sedan,Hybrid,Manual,4,27179
X5,SUV,Diesel,Manual,2.2,11882
X6,SUV-Coupe,Hybrid,Automatic,4.6,123354
X1,SUV,Electric,Manual,2.8,101856
i8,Hybrid Sports Car,Diesel,Automatic,4.7,4503
M5,Performance Sedan,Petrol,Manual,5,15552
X5,SUV,Diesel,Manual,4.2,177515
X3,SUV,Hybrid,Manual,3.7,31212
3 Series,Sedan,Hybrid,Manual,2,113518
5 Series,Sedan,Petrol,Manual,4.8,50300
M3,Performance Sedan,Petrol,Manual,4.2,191676
i8,Hybrid Sports Car,Diesel,Manual,2.5,73513
i8,Hybrid Sports Car,Electric,Automatic,3.1,129447
7 Series,Sedan,Diesel,Manual,1.7,159747
X6,SUV-Coupe,Hybrid,Manual,3.8,62783
X3,SUV,Electric,Manual,1.9,145574
X6,SUV-Coupe,Hybrid,Manual,3.8,4814
i8,Hybrid Sports Car,Diesel,Manual,3.9,120409
3 Series,Sedan,Hybrid,Automatic,2.6,173433
5 Series,Sedan,Electric,Automatic,4.8,83307
7 Series,Sedan,Hybrid,Manual,4.2,70049
M5,Performance Sedan,Hybrid,Manual,3.2,177818
i8,Hybrid Sports Car,Electric,Automatic,4.7,99756
5 Series,Sedan,Diesel,Manual,4.5,130647
X5,SUV,Diesel,Manual,3.9,173170
7 Series,Sedan,Petrol,Automatic,2,132702
X5,SUV,Petrol,Manual,3.2,183305
M5,Performance Sedan,Petrol,Automatic,4.5,126327
i8,Hybrid Sports Car,Hybrid,Manual,3.6,71884
X1,SUV,Hybrid,Manual,3.4,210
5 Series,Sedan,Petrol,Automatic,4.8,178980
M5,Performance Sedan,Electric,Automatic,1.6,196098
X5,SUV,Hybrid,Manual,1.5,151920
i3,Electric Hatchback,Petrol,Automatic,4.6,12424
M3,Performance Sedan,Diesel,Manual,1.6,144756
X6,SUV-Coupe,Hybrid,Manual,2.7,40002
i8,Hybrid Sports Car,Petrol,Manual,4.7,7171
M3,Performance Sedan,Hybrid,Manual,3.9,162844
5 Series,Sedan,Diesel,Automatic,3.8,92603
5 Series,Sedan,Hybrid,Manual,3.8,198677
i3,Electric Hatchback,Diesel,Manual,2.6,85841
M5,Performance Sedan,Diesel,Manual,3.4,41131
X5,SUV,Diesel,Automatic,3.7,174715
X1,SUV,Diesel,Automatic,2.6,97186
X1,SUV,Diesel,Automatic,4.3,194069
7 Series,Sedan,Diesel,Manual,2.6,54776
X5,SUV,Diesel,Automatic,1.8,3432
5 Series,Sedan,Hybrid,Manual,2.2,181887
M5,Performance Sedan,Hybrid,Manual,2.9,86873
X6,SUV-Coupe,Electric,Manual,4.7,10399
X5,SUV,Electric,Automatic,3,171528
M5,Performance Sedan,Electric,Manual,1.8,113765
X5,SUV,Hybrid,Automatic,2.2,79039
X1,SUV,Petrol,Automatic,3.4,158650
X1,SUV,Electric,Manual,2.1,28361
M3,Performance Sedan,Diesel,Automatic,1.7,31679
X5,SUV,Diesel,Manual,4,17762
3 Series,Sedan,Petrol,Manual,4.2,41780
M3,Performance Sedan,Electric,Manual,4.5,48287
M3,Performance Sedan,Petrol,Automatic,4.5,26037
7 Series,Sedan,Petrol,Automatic,2.8,9896
7 Series,Sedan,Hybrid,Manual,4.1,44982
5 Series,Sedan,Diesel,Manual,3.5,57949
M5,Performance Sedan,Petrol,Automatic,1.6,184040
X6,SUV-Coupe,Electric,Manual,2.9,187554
5 Series,Sedan,Petrol,Manual,1.7,56121
7 Series,Sedan,Diesel,Automatic,1.8,13764
M5,Performance Sedan,Petrol,Manual,1.7,186496
3 Series,Sedan,Petrol,Automatic,4.9,166408
X1,SUV,Hybrid,Manual,4.5,137593
i8,Hybrid Sports Car,Electric,Automatic,3,82349
M3,Performance Sedan,Electric,Manual,2.4,56740
M3,Performance Sedan,Diesel,Manual,1.8,82283
M3,Performance Sedan,Electric,Manual,3,49100
X6,SUV-Coupe,Hybrid,Manual,3.6,181906
5 Series,Sedan,Petrol,Automatic,4.3,118768
7 Series,Sedan,Diesel,Automatic,1.7,119571
M3,Performance Sedan,Electric,Manual,3,34214
X5,SUV,Petrol,Manual,4.9,81248
5 Series,Sedan,Petrol,Manual,1.9,195548
5 Series,Sedan,Petrol,Manual,2.9,168391
X1,SUV,Electric,Automatic,2.5,18068
3 Series,Sedan,Petrol,Automatic,2,140925
5 Series,Sedan,Diesel,Automatic,4.4,129255
X6,SUV-Coupe,Electric,Manual,3.9,117680
7 Series,Sedan,Electric,Manual,2.9,41472
3 Series,Sedan,Diesel,Automatic,2.8,67615
5 Series,Sedan,Petrol,Automatic,4.4,129037
7 Series,Sedan,Hybrid,Manual,1.8,181671
7 Series,Sedan,Diesel,Manual,2,183450
M3,Performance Sedan,Hybrid,Automatic,4.7,150204
3 Series,Sedan,Diesel,Automatic,4.4,191220
M5,Performance Sedan,Electric,Automatic,4.2,139005
i8,Hybrid Sports Car,Diesel,Manual,3.7,161920
3 Series,Sedan,Diesel,Manual,2.5,115702
i8,Hybrid Sports Car,Hybrid,Automatic,4.8,39145
X1,SUV,Electric,Manual,3.2,138778
7 Series,Sedan,Petrol,Automatic,2.5,39018
X5,SUV,Petrol,Manual,2.8,60371
X5,SUV,Hybrid,Automatic,1.6,184233
7 Series,Sedan,Electric,Manual,2.4,19134
X3,SUV,Hybrid,Manual,2.2,54359
X6,SUV-Coupe,Electric,Manual,2,127133
X6,SUV-Coupe,Hybrid,Automatic,1.6,99686
X6,SUV-Coupe,Electric,Automatic,2.3,58037
M5,Performance Sedan,Petrol,Automatic,1.9,73466
i3,Electric Hatchback,Diesel,Automatic,1.7,186336
i8,Hybrid Sports Car,Petrol,Manual,2,31683
i8,Hybrid Sports Car,Hybrid,Manual,2.2,58823
M5,Performance Sedan,Electric,Automatic,3,145473
M5,Performance Sedan,Electric,Manual,3.5,67945
7 Series,Sedan,Diesel,Automatic,2.6,83356
X5,SUV,Hybrid,Automatic,2,176698
5 Series,Sedan,Petrol,Manual,4.8,155809
M5,Performance Sedan,Electric,Automatic,3.3,189876
X3,SUV,Hybrid,Manual,4.1,145488
5 Series,Sedan,Electric,Manual,3.9,67751
X6,SUV-Coupe,Electric,Manual,2.5,52409
X6,SUV-Coupe,Electric,Automatic,3.5,154268
7 Series,Sedan,Petrol,Automatic,3.6,77637
5 Series,Sedan,Diesel,Manual,2.7,108413
M3,Performance Sedan,Diesel,Manual,3.8,169215
7 Series,Sedan,Petrol,Automatic,4.3,195455
M3,Performance Sedan,Hybrid,Manual,2.8,100819
7 Series,Sedan,Electric,Automatic,1.6,119156
5 Series,Sedan,Electric,Automatic,2.7,184282
X6,SUV-Coupe,Hybrid,Automatic,1.9,190661
X6,SUV-Coupe,Petrol,Automatic,2,54533
X6,SUV-Coupe,Electric,Automatic,2.8,58221
5 Series,Sedan,Diesel,Automatic,2.2,164358
X5,SUV,Electric,Automatic,4.8,169891
i8,Hybrid Sports Car,Hybrid,Manual,3.8,44101
X5,SUV,Diesel,Automatic,3.3,29537
X6,SUV-Coupe,Diesel,Automatic,1.5,109440
M5,Performance Sedan,Hybrid,Automatic,1.9,16861
i8,Hybrid Sports Car,Petrol,Automatic,4.3,93935
i3,Electric Hatchback,Petrol,Manual,2.9,160464
X5,SUV,Hybrid,Automatic,1.7,89385
X1,SUV,Petrol,Manual,4.4,113183
X5,SUV,Diesel,Manual,2.6,21791
M3,Performance Sedan,Electric,Manual,2.9,92421
3 Series,Sedan,Electric,Manual,4.9,151173
i8,Hybrid Sports Car,Hybrid,Manual,1.6,144839
X5,SUV,Diesel,Manual,4,18027
X6,SUV-Coupe,Hybrid,Manual,4.8,38816
i8,Hybrid Sports Car,Electric,Manual,1.7,71040
X5,SUV,Hybrid,Automatic,4.5,43354
X3,SUV,Hybrid,Automatic,3,5063
M5,Performance Sedan,Hybrid,Automatic,4.6,23884
M5,Performance Sedan,Diesel,Manual,2.6,113316
M3,Performance Sedan,Diesel,Automatic,4.9,199844
X3,SUV,Petrol,Automatic,3.8,19570
X5,SUV,Diesel,Automatic,3.7,41705
7 Series,Sedan,Electric,Manual,4.3,74076
X1,SUV,Petrol,Manual,3,35240
3 Series,Sedan,Diesel,Automatic,2.4,1881
3 Series,Sedan,Diesel,Manual,2.4,129631
7 Series,Sedan,Petrol,Automatic,2.7,57513
X1,SUV,Diesel,Manual,3.7,195722
5 Series,Sedan,Electric,Manual,4.4,12600
M3,Performance Sedan,Hybrid,Manual,3.2,160964
X6,SUV-Coupe,Electric,Manual,2.9,25024
M5,Performance Sedan,Petrol,Manual,4.3,124907
M3,Performance Sedan,Electric,Automatic,2.5,58636
7 Series,Sedan,Diesel,Automatic,3.9,47888
3 Series,Sedan,Electric,Automatic,1.9,52801
M5,Performance Sedan,Electric,Automatic,1.9,126813
3 Series,Sedan,Electric,Automatic,3.8,77562
5 Series,Sedan,Hybrid,Manual,1.8,199054
M5,Performance Sedan,Electric,Automatic,2,183660
i8,Hybrid Sports Car,Hybrid,Automatic,3.7,193902
M3,Performance Sedan,Hybrid,Manual,3,52488
i3,Electric Hatchback,Hybrid,Automatic,3.5,149579
X5,SUV,Diesel,Manual,4.9,107078
3 Series,Sedan,Diesel,Manual,3.7,146007
M5,Performance Sedan,Diesel,Manual,3.6,167700
i3,Electric Hatchback,Diesel,Manual,2.8,68488
M3,Performance Sedan,Petrol,Automatic,3.7,46047
X5,SUV,Petrol,Automatic,1.5,108097
i3,Electric Hatchback,Electric,Manual,3.5,65094
M3,Performance Sedan,Hybrid,Manual,1.7,70913
5 Series,Sedan,Diesel,Automatic,2.3,116023
X6,SUV-Coupe,Petrol,Automatic,3.5,146955
X3,SUV,Petrol,Manual,3.8,13562
X1,SUV,Diesel,Automatic,2.8,130359
X6,SUV-Coupe,Petrol,Automatic,3,96756
i8,Hybrid Sports Car,Hybrid,Manual,3.2,171470
5 Series,Sedan,Diesel,Manual,4.2,99525
M5,Performance Sedan,Electric,Automatic,1.6,116154
X1,SUV,Hybrid,Automatic,3.1,121670
M3,Performance Sedan,Petrol,Automatic,1.5,144650
i8,Hybrid Sports Car,Diesel,Manual,2.6,192246
i3,Electric Hatchback,Hybrid,Automatic,3.3,187778
X6,SUV-Coupe,Electric,Manual,1.8,183457
5 Series,Sedan,Hybrid,Manual,3.2,46046
M5,Performance Sedan,Diesel,Automatic,4.7,191316
X6,SUV-Coupe,Diesel,Manual,3.9,173714
7 Series,Sedan,Hybrid,Manual,4.2,189062
M5,Performance Sedan,Hybrid,Manual,3.5,148874
i8,Hybrid Sports Car,Electric,Manual,4.6,1854
X5,SUV,Diesel,Manual,2,21756
X6,SUV-Coupe,Diesel,Automatic,3.1,36290
X3,SUV,Hybrid,Automatic,3.6,101047
i8,Hybrid Sports Car,Petrol,Automatic,4.6,90538
7 Series,Sedan,Diesel,Automatic,2.6,105911
X6,SUV-Coupe,Hybrid,Automatic,1.5,55084
5 Series,Sedan,Diesel,Automatic,4.9,50875
M5,Performance Sedan,Hybrid,Automatic,1.6,136307
3 Series,Sedan,Petrol,Automatic,2,83679
i8,Hybrid Sports Car,Diesel,Manual,3,84479
3 Series,Sedan,Electric,Manual,3.2,178995
7 Series,Sedan,Petrol,Automatic,4.4,81667
3 Series,Sedan,Hybrid,Automatic,3.1,143586
M3,Performance Sedan,Petrol,Automatic,3.4,112784
X3,SUV,Electric,Automatic,2.2,49193
X1,SUV,Diesel,Manual,3.5,149732
i8,Hybrid Sports Car,Petrol,Automatic,2.7,116411
X5,SUV,Diesel,Manual,1.8,51097
5 Series,Sedan,Diesel,Manual,4.8,130479
5 Series,Sedan,Electric,Automatic,1.8,175679
i8,Hybrid Sports Car,Electric,Manual,3.9,65680
M5,Performance Sedan,Diesel,Manual,4.7,178529
X6,SUV-Coupe,Petrol,Manual,2.1,180976
X6,SUV-Coupe,Petrol,Manual,2.3,93383
X1,SUV,Electric,Automatic,3,106440
M3,Performance Sedan,Electric,Automatic,2.5,121734
3 Series,Sedan,Hybrid,Manual,4.2,7295
M5,Performance Sedan,Hybrid,Automatic,2.7,120371
X1,SUV,Electric,Automatic,5,135399
3 Series,Sedan,Petrol,Automatic,4.5,179087
5 Series,Sedan,Electric,Automatic,4.6,162033
X3,SUV,Electric,Manual,1.7,159987
3 Series,Sedan,Diesel,Manual,2.1,21191
5 Series,Sedan,Electric,Manual,2.1,110165
X1,SUV,Diesel,Automatic,3.9,35705
i8,Hybrid Sports Car,Petrol,Automatic,1.5,199863
3 Series,Sedan,Hybrid,Automatic,4.3,29466
X1,SUV,Hybrid,Manual,3.4,9233
i8,Hybrid Sports Car,Hybrid,Manual,3.5,106575
M5,Performance Sedan,Hybrid,Automatic,3.4,2930
5 Series,Sedan,Diesel,Automatic,3.4,177557
X3,SUV,Hybrid,Automatic,2.2,171961
i8,Hybrid Sports Car,Hybrid,Automatic,2.5,15104
X6,SUV-Coupe,Diesel,Manual,3.2,99757
5 Series,Sedan,Electric,Manual,3.9,122709
i8,Hybrid Sports Car,Diesel,Manual,2.5,197146
i3,Electric Hatchback,Diesel,Manual,4.3,120677
X6,SUV-Coupe,Diesel,Automatic,4.3,25259
3 Series,Sedan,Hybrid,Automatic,2.5,38877
i3,Electric Hatchback,Electric,Manual,3.5,97277
3 Series,Sedan,Diesel,Automatic,2.7,12370
i3,Electric Hatchback,Hybrid,Manual,2.2,70688
i8,Hybrid Sports Car,Hybrid,Manual,4.3,4789
X1,SUV,Diesel,Automatic,5,30872
X1,SUV,Electric,Automatic,3.5,71685
i3,Electric Hatchback,Petrol,Manual,4.7,32175
X3,SUV,Electric,Automatic,3.7,51966
M5,Performance Sedan,Hybrid,Manual,3.5,45148
X3,SUV,Electric,Automatic,3.2,32270
M3,Performance Sedan,Diesel,Automatic,2.3,74187
X3,SUV,Hybrid,Manual,1.8,60346
X1,SUV,Petrol,Manual,3,24869
i8,Hybrid Sports Car,Electric,Manual,3.5,71054
X6,SUV-Coupe,Hybrid,Automatic,3.3,171121
X5,SUV,Diesel,Manual,3.9,157084
i3,Electric Hatchback,Diesel,Automatic,2.2,20463
X6,SUV-Coupe,Electric,Automatic,2.7,152394
7 Series,Sedan,Electric,Automatic,3,105469
5 Series,Sedan,Petrol,Automatic,2.2,123535
i8,Hybrid Sports Car,Hybrid,Manual,4.7,194464
M5,Performance Sedan,Hybrid,Manual,3.9,10934
5 Series,Sedan,Hybrid,Automatic,1.8,53080
M3,Performance Sedan,Hybrid,Manual,4,37425
i3,Electric Hatchback,Diesel,Automatic,3.4,177697
X5,SUV,Petrol,Automatic,3.3,5823
X5,SUV,Hybrid,Automatic,5,130662
3 Series,Sedan,Electric,Automatic,3.7,93552
3 Series,Sedan,Petrol,Automatic,4.6,167910
i3,Electric Hatchback,Petrol,Automatic,4.7,96130
X6,SUV-Coupe,Hybrid,Manual,1.9,137181
X5,SUV,Diesel,Automatic,1.5,127062
M5,Performance Sedan,Diesel,Automatic,3,182237
i8,Hybrid Sports Car,Electric,Manual,4.2,112907
X3,SUV,Electric,Automatic,4.4,118333
5 Series,Sedan,Electric,Automatic,4.3,114604
M5,Performance Sedan,Diesel,Automatic,3.1,91109
M3,Performance Sedan,Hybrid,Manual,4.1,11799
i8,Hybrid Sports Car,Hybrid,Manual,4,12567
X5,SUV,Hybrid,Automatic,2.6,30429
7 Series,Sedan,Electric,Automatic,2.1,114896
i8,Hybrid Sports Car,Diesel,Automatic,3.7,31715
X3,SUV,Diesel,Manual,3.9,34993
X5,SUV,Electric,Manual,3.5,10839
X3,SUV,Electric,Automatic,2.2,41311
7 Series,Sedan,Electric,Manual,2.5,106455
5 Series,Sedan,Petrol,Manual,4,54466
i3,Electric Hatchback,Petrol,Automatic,4.9,96764
7 Series,Sedan,Hybrid,Manual,4.8,37235
5 Series,Sedan,Diesel,Automatic,3.3,8876
X5,SUV,Petrol,Automatic,4.6,146368
i3,Electric Hatchback,Diesel,Manual,1.6,89364
i8,Hybrid Sports Car,Diesel,Automatic,4.5,138635
X6,SUV-Coupe,Hybrid,Manual,3.2,144119
X1,SUV,Petrol,Automatic,4.2,2147
X1,SUV,Diesel,Automatic,1.5,121195
X3,SUV,Diesel,Manual,4.5,44626
X1,SUV,Petrol,Manual,3.6,2450
X5,SUV,Petrol,Automatic,2.3,1380
